Código;Descripción;Descripción adicional;Sinónimo;Código de barras;Tipo;Escala
01050026;Triturado x 950 Tapa Estrella ;;;;Simple;No usa
01050027;Tomate triturado 8 Kg Lata;;;;Simple;No usa
01050028;Triturado x 330 gr Albaca;;;;Simple;No usa
01050029;Triturado x 330 gr Oregano;;;;Simple;No usa
01050030;Triturado x 330 gr Picante;;;;Simple;No usa
01050031;Triturado x 500 gr;;;;Simple;No usa
01050032;Triturado x 500 gr Tapa Twist;;;;Simple;No usa
01050033;Conejo Deshuesado;;00065;;Simple;No usa
01050034;Conejo Entero;;00033;;Simple;No usa
01050035;Hamburguesa de conejo;;00060;;Simple;No usa
01050036;Lomo de conejo;;;;Simple;No usa
01050037;Bife de lomo de Conejo;;00031;;Simple;No usa
01050038;Cabrito Media Res;;00032;;Simple;No usa
02010001;Dosis AG1010 Bisabuelo Roy;;;;Simple;No usa
02010002;Dosis AG1020 Abuelo Roy;;;;Simple;No usa
02010003;Dosis AGPIC337 IU Roy;;;;Simple;No usa
02010004;Dosis AGPIC337 Roy;;;;Simple;No usa
02010005;Dosis Línea Talent ;164;;;Simple;No usa
02010006;Dosis Línea Talent PC;165;;;Simple;No usa
02010007;Dosis Línea Tzzzz ;166;;;Simple;No usa
02010008;Dosis Línea Tzzzz PC ;167;;;Simple;No usa
02010009;Dosis Tzzzz Bisabuelo;;;;Simple;No usa
02010010;Abuelas en regalías ;Topigs;;;Simple;No usa
02010011;Dosis TLLL;;;;Simple;No usa
02020001;Royalty lechon hembra;;;;Simple;No usa
02020002;Royalty lechon macho;;;;Simple;No usa
02020004;Servicio de genómica ;Toppigs;;;Simple;No usa
03010001;Cateter chico;2;;;Simple;No usa
03010002;Cateter post cervical;112;;;Simple;No usa
03010003;Agua bidestilada;;;;Simple;No usa
03020001;Tiamulina 20 % Hs ;;;;Simple;No usa
03020002;Amoxicilina 50% Hs ;;;;Simple;No usa
03020003;Tilmicosina 20 % Hs;;;;Simple;No usa
03020004;Fenbendazole 4%;;;;Simple;No usa
03020005;Florfenicol 10 %;;;;Simple;No usa
03020006;Antitermico;;;;Simple;No usa
03020007;Clortetraciclina 20%;;;;Simple;No usa
03020008;Fosfomicina 25%;;;;Simple;No usa
03020009;Doxiciclina 25%;;;;Simple;No usa
03020010;Florfenicol 8%;;;;Simple;No usa
03020011;Tiamulina 40% Hs ;;;;Simple;No usa
03020012;Amoxicilina 57% Hs ;;;;Simple;No usa
03020013;Tiamulina. 7,5% y Clortet. 20%;Tiaclor;;;Simple;No usa
03030001;Vacuna Circumvent PCVM 50 ds;149;;;Simple;No usa
03030002;Vacuna Ileítis Porcina 100ml;72;;;Simple;No usa
03030003;Vacuna Pleuroneumonia 100 ml;131;;;Simple;No usa
03030004;Vacuna glasser x25ds;168;;;Simple;No usa
03030005;Toltrazuril 50 mg 250 ml;154;;;Simple;No usa
03030006;Vacuna Inmunocastracion 50 ds;111;;;Simple;No usa
03030007;Vacuna Inmunocastracion 125 ds;65;;;Simple;No usa
03030008;Vacuna Parvovirosis 50 dosis;164;;;Simple;No usa
03030009;Vacuna Parvovirosis 10 dosis;170;;;Simple;No usa
03030010;Vacuna Inmunocastracion 100 ds;146;;;Simple;No usa
03030011;Vacuna Rinitis AR-T DF x25ds;145;;;Simple;No usa
03030012;Diclazuril 1.50 mg 250 ml;186;;;Simple;No usa
03030013;Vacuna Circovirus PCVM 100 ds ;173;;;Simple;No usa
03030014;Vacuna Mycoplasma ID 100 ds ;;;;Simple;No usa
03030015;Vacuna Porcilis Begonia DF100d;;;;Simple;No usa
03030016;Vacuna Forceris 100 ml x66 ds;;;;Simple;No usa
03030017;Vac. Circov. y Mycoplasma 50ds;Unidosis 177;;;Simple;No usa
03030018;Vacuna Forceris 250 ml x166ds;;;;Simple;No usa
03030019;Vacuna Cirbloc MHYO 100 ml;179;;;Simple;No usa
03030020;Arancel senasa ;179;;;Simple;No usa
03030021;Vacuna Mycoplasma 100 ds intram. (monodosis);Monodosis;;;Simple;No usa
03030022;Vacuna Rinitis x50ds;;;;Simple;No usa
03030023;Vacuna glasser x50ds ;168;;;Simple;No usa
03030024;Vacuna Diarrea Neonatal x25ds;E.Coli+Clostridium;;;Simple;No usa
03030025;Vacuna Circovirus PCV 50ds intram. (monodosis);;;;Simple;No usa
03040001;Curabichera;33;;;Simple;No usa
03040002;Tiza paintstik caja x 12 unid.;11;;;Simple;No usa
03040003;Guantes de latex x 100 unid.;12;;;Simple;No usa
03040004;Aguja 25 x 12 Caja x 100 unid.;99;;;Simple;No usa
03040005;Aguja 40 x 20 Caja x 100 unid.;;;;Simple;No usa
03040006;Aguja 25 x 8 Caja x 100 unid.;3;;;Simple;No usa
03040007;Jeringa 20 ml;7;;;Simple;No usa
03040008;Jeringa 10 ml;6;;;Simple;No usa
03040009;Aguja 50 x 12 Caja x 100 unid.;21;;;Simple;No usa
03040010;Cubreobjetos 20 x 20;103;;;Simple;No usa
03040011;Hoja bisturí N° 24 x 100;47;;;Simple;No usa
03040012;Perfus microgotero ;23;;;Simple;No usa
03040013;Pinza para caravana;58;;;Simple;No usa
03040014;Guantes de tacto x 100 unid.;25;;;Simple;No usa
03040015;Hilo de lino;39;;;Simple;No usa
03040016;Litargirio x 250 gr.;91;;;Simple;No usa
03040017;Glicerina x 250 gr.;95;;;Simple;No usa
03040018;Señaladores para oreja N° 65;42;;;Simple;No usa
03040019;Alcohol etílico liquido;40;;;Simple;No usa
03040020;Caravana amarilla lisa x25u.;104;;;Simple;No usa
03040021;Lápiz marcador caravana;106;;;Simple;No usa
03040022;Pasta tatuaje 140 gr.;113;;;Simple;No usa
03040023;Jeringa 5 ml.;151;;;Simple;No usa
03040024;Alcohol en gel x Litro;132;;;Simple;No usa
03040025;Aplicador eco matic 2 ml;157;;;Simple;No usa
03040027;Gel lubricante x500ml;155;;;Simple;No usa
03040028;Jeringa aut. Fix 50 cc;143;;;Simple;No usa
03040029;Jeringa para improvac 2 ml;84;;;Simple;No usa
03040030;Jeringa tuberculina x 100 ml;139;;;Simple;No usa
03040031;Iodopovidona x 1L;161;;;Simple;No usa
03040032;Termometro digital;133;;;Simple;No usa
03040033;Tijera mayo recta 17 cm;138;;;Simple;No usa
03040034;Gel lubricante x 1L;;;;Simple;No usa
03040035;Aplicador 2 ml;123;;;Simple;No usa
03040036;Aplicador 1 ml;128;;;Simple;No usa
03040037;Autodosificador x 5 cc;120;;;Simple;No usa
03040038;Portaobjetos 75 x 25;102;;;Simple;No usa
03040040;Pasta tatuaje 30 gr.;159;;;Simple;No usa
03040041;Aguja 40 x 12 Caja x 100 unid.;5;;;Simple;No usa
03040042;Vinagre p/ farmacia ;168;;;Simple;No usa
03040043;Guantes reforz. x100 farmacia;162;;;Simple;No usa
03040044;Navaja corta cola y dep de gas;;;;Simple;No usa
03040045;Caravana roja lisa x 25 unid.;163;;;Simple;No usa
03040046;Caravana azul lisa x25unid.;105;;;Simple;No usa
03040047;Caravana botón verde sig x 25 ;;;;Simple;No usa
03040048;Caravana tarjeta roja c/ sigla;x 25 unid;;;Simple;No usa
03040049;Caravana tarjeta verde c/sigla;x 25 unid;;;Simple;No usa
03040050;Caravana botón roja num x 25 ;;;;Simple;No usa
03040051;Iodopovidona x 10L;153;;;Simple;No usa
03040052;Barra p/ marcar x 10un;;;;Simple;No usa
03040053;Iodopovidona x 5L;;;;Simple;No usa
03040054;Corta cola a gas;;;;Simple;No usa
03040055;Gas butano p/ cortacola;;;;Simple;No usa
03040056;Mango p/ bisturí ;;;;Simple;No usa
03040057;Líquido de purificación IDAL ;;;;Simple;No usa
03040058;Pinza p/ tatuaje ;;;;Simple;No usa
03040059;Dígitos p/ pinza tatuadora;;;;Simple;No usa
03040060;Jeringa para forceris 1.5ml ;;;;Simple;No usa
03040061;Corta cola eléctrico;;;;Simple;No usa
03040062;Cuchilla p/ corta cola elect. ;;;;Simple;No usa
03040063;Jeringa tuberculina x 1 ml;;;;Simple;No usa
03040064;Caravana boton verde lisa x25u;;;;Simple;No usa
03040065;Formol x 5L;;;;Simple;No usa
03040066;Autodosificador x 2 cc;;;;Simple;No usa
03040067;Descornador;P/colonia;;;Simple;No usa
03040068;Jeringa p/ cirbloc 2ml;;;;Simple;No usa
03040069;Caravana botón roja lisa x 25 ;197;;;Simple;No usa
03040070;Jeringa p/ ceva valora;7;;;Simple;No usa
03040072;Aplicador de Glasser-Porcilis;;;;Simple;No usa
03050001;Penicilina y estreptom. 100 ml;182;;;Simple;No usa
03050002;Gentamicina 40 mg100 ml;86;;;Simple;No usa
03050003;Enrofloxacina al 10% 250 ml;94;;;Simple;No usa
03050004;Ceftiofur y ketoprofeno 100ml ;129;;;Simple;No usa
03050005;Oxitetraciclina 20% 250 ml;161;;;Simple;No usa
03050006;Florfenicol y diclofenac 1L;155;;;Simple;No usa
03050007;Tulathromicin 50 ml;;;;Simple;No usa
03050008;Amoxicilina 15 gr 100 ml;174;;;Simple;No usa
