Código;Descripción;Descripción adicional;Sinónimo;Código de barras;Tipo;Escala
14010010;"Bulón 5/16"" X 1"" Cabeza Exag.";P/Silos ;;;Simple;No usa
14010011;"Bulón 1/2"" X 2 1/2""";;;;Simple;No usa
14010012;"Tornillo Auto Perfor.T1-14X1"" ";Punta Mecha ;;;Simple;No usa
14010013;"Tornillo Auto Perfor.T1  8X1"" ";Punta Mecha ;;;Simple;No usa
14010014;"Varilla Roscada  3/8""";;;;Simple;No usa
14010015;"Arandela Planas 5/16"" ";;;;Simple;No usa
14010016;"Arandela Planas 3/8"" ";;;;Simple;No usa
14010017;"Arandela Grower 5/16""";;;;Simple;No usa
14010018;Cable Acerado Hg 6X7 X 3Mm;;;;Simple;No usa
14010019;Litargirio X 250Gs Epoxi;;;;Simple;No usa
14010020;Glicerina X 500 Gas Epoxi;;;;Simple;No usa
14010021;Propanotral X 150 Gas;;;;Simple;No usa
14010022;Hilo P/ Boyero X Metro Aprox.;;;;Simple;No usa
14010023;Disco De Corte 230X3,0 ;;;;Simple;No usa
14010024;Disco De Corte 305X3,2X25,4Mm ;;;;Simple;No usa
14010025;"Tuerca Autofrenantes 5/16"" ";;;;Simple;No usa
14010026;Gancho En Forma S ;;;;Simple;No usa
14010028;Alambre P/Soldadora Mig ;Por Rollo 0,9Mm ;;;Simple;No usa
14010029;Cepillo De Alambre Para Banco ;Esmeril;;;Simple;No usa
14010030;"Varilla Roscada  3/16""";;;;Simple;No usa
14010031;"Varilla Roscada 1/4"" ";;;;Simple;No usa
14010032;"Varilla Roscada  1/2""";;;;Simple;No usa
14010033;"Arandela Planas 1/4"" ";;;;Simple;No usa
14010034;"Tuerca  Zincada 3/8"" ";;;;Simple;No usa
14010035;"Tuerca Autofrenantes 3/8""";;;;Simple;No usa
14010036;"Bulón 1/4"" X 1/2""";;;;Simple;No usa
14010037;"Bulón 5/16"" X 3/4"" ";;;;Simple;No usa
14010038;Tirafondo Nº8 X 2”1/2 ;;;;Simple;No usa
14010039;"Tuerca Zincada 5/8""";;;;Simple;No usa
14010040;"Bulón 5/16""X 1/2"" ";;;;Simple;No usa
14010041;"Tuerca Autofrenantes 3/16""";;;;Simple;No usa
14010042;"Tuerca Zincada 1/4""";;;;Simple;No usa
14010043;"Tuerca  Zincada 5/16"" (Gris)";;;;Simple;No usa
14010044;Arandela Planas 3/16 ;;;;Simple;No usa
14010045;"Arandela Grower 1/4 """;;;;Simple;No usa
14010046;"Taco De Anclaje Metál N° 5/16""";Metálicos;;;Simple;No usa
14010047;"Bulón 1/4"" X 1"" Inoxidable.";;;;Simple;No usa
14010048;"Jota Para Techos 1/4""X 90Mm";Metálicos;;;Simple;No usa
14010049;"Bulón 3/8"" X 3 1/2""";;;;Simple;No usa
14010050;"Bulón 3/8"" X 3” ";;;;Simple;No usa
14010051;Sika Floor Liquida P/Reboques ;Por litros;;;Simple;No usa
14010052;"Tirafondo Nº 10  1/4"" X 2"" ";Cabeza exagonal;;;Simple;No usa
14010053;Lija Nº 60 ;;;;Simple;No usa
14010054;Mecha De Acero Rapido Nº 13.50;Nº 13.50-160Mm;;;Simple;No usa
14010055;"Tuerca Auto/Frenante 1/4""";;;;Simple;No usa
14010056;Conexión Fuelle Para Mochila;;;;Simple;No usa
14010057;Mezcla Adhesiva Concén. X30Kg;Concéntrica imper.;;;Simple;No usa
14010058;Esmalte Sintetico ;;;;Simple;No usa
14010059;Válvula De Admisión;;;;Simple;No usa
14010060;Cinta De Papel 50Mm;P/Enmascarar ;;;Simple;No usa
14010061;Rodillos De Lana Natural ;P/Pintura;;;Simple;No usa
14010062;Thiner X Litro;;;;Simple;No usa
14010063;Soporte Nivelador De Pvc ;Para Platina ;;;Simple;No usa
14010064;Omega 3/4;;;;Simple;No usa
14010065;"Tornillo Auto Perfor.T1 8X1/2""";Mecha;;;Simple;No usa
14010066;Grilon Barra 19Mm X 100Mm ;(1 Metro);;;Simple;No usa
14010067;Sika Ligante Cim;;;;Simple;No usa
14010068;Cepillo Copa Bpt 100Mm;Trenzado Acero ;;;Simple;No usa
14010069;Cepillo Copa Metálico X 100Mm;Rizado De Bronce ;;;Simple;No usa
14010070;Disco Desbaste X 115;;;;Simple;No usa
14010071;Guante Moteados;;;;Simple;No usa
14010072;Precinto 160MmX4,8MmX 100 Un.;;;;Simple;No usa
14010073;Mecha De Acero Rápido 6,05;;;;Simple;No usa
14010074;Pintura Triple Acción -1 Litro; (3 En 1);;;Simple;No usa
14010075;Desoxidante - 1 Litro;;;;Simple;No usa
14010076;"Pincel - 2""";;;;Simple;No usa
14010077;Imprégnate P/ Madera -  Litros;;;;Simple;No usa
14010078;Soporte /Elementos De Limpieza;;;;Simple;No usa
14010079;"Orrin De Goma -1""";;;;Simple;No usa
14010080;Porta Candados;;;;Simple;No usa
14010081;"Tornillo Aut.Perf.T1 14X1 1/2""";Punta Mecha ;;;Simple;No usa
14010082;Mecha-Broca Escalonada 4Mm;32Mm;;;Simple;No usa
14010083;"Bulón 1/2"" X 1 1/4""";;;;Simple;No usa
14010084;Base Pvc P/Escopeta Platina ;;;;Simple;No usa
14010085;Hilo Lupolino;;;;Simple;No usa
14010086;"Tuerca Autofrenantes 1/2""";;;;Simple;No usa
14010087;Grillete Prensacables  8Mm;De Acero;;;Simple;No usa
14010088;Material Desplegable 2,20X1,20;25X25X2Mm ;;;Simple;No usa
14010089;Rollo Cinta Reflectaría ;(Peligro);;;Simple;No usa
14010090;"Clavos 2 1/2""";;;;Simple;No usa
14010091;Tanza -3Mm Cuadrada ;;;;Simple;No usa
14010092;Flor Para Duchas;;;;Simple;No usa
14010093;Veneno Para Hormigas X Kg.;;;;Simple;No usa
14010094;Pasadores Con Traba Y Resorte ;;;;Simple;No usa
14010095;Terminales Tubular 1 X 4Mm ;;;;Simple;No usa
14010096;Mecha Sds Plus Ø 24 X 450Mm;;;;Simple;No usa
14010097;Bisagras Para Gabinetes;;;;Simple;No usa
14010098;Trabasil 15 Gs. P/Roscas ;Metalicas ;;;Simple;No usa
14010099;Pilas Aaa;;;;Simple;No usa
14010100;Tacos Fischer  N°10;P/Ladrillo Hueco;;;Simple;No usa
14010101;Tacos Fischer  N°8;P/Ladrillo Hueco;;;Simple;No usa
14010102;Disco Flap 115;;;;Simple;No usa
14010103;"Bulon 5/16"" X 1 1/2"" Inoxid.";;;;Simple;No usa
14010104;"Arandelas 5/16"" Inoxidable";;;;Simple;No usa
14010105;Bases Adhesivas P/ Precintos ;;;;Simple;No usa
14010106;Balde De Albañil;;;;Simple;No usa
14010107;Roldanas De Hierro;;;;Simple;No usa
14010108;Aislante Autohadesivo P/Caños ;;;;Simple;No usa
14010109;"Rosca Macho 3/8""";;;;Simple;No usa
14010110;"Bulon 3/8"" X 2"" Prisioneros ";;;;Simple;No usa
14010111;Separadores Para Apliques Sica;;;;Simple;No usa
14010112;Mecha De Acero Rapido N°12;;;;Simple;No usa
14010113;Soga De Polipropileno 3Mm;;;;Simple;No usa
14010114;Hidrófugo X 20 Litros Sika 1 ;;;;Simple;No usa
14010115;Brocas N° 12;;;;Simple;No usa
14010116;"Bulón  3/8"" X 1""";;;;Simple;No usa
14010117;"Bulón  1/4"" X 1/4""";;;;Simple;No usa
14010118;"Bulón  1/4"" X 1/4"" ";Cabeza De Tanque ;;;Simple;No usa
14010119;"Bulón  1/2"" X 1 1/2""  ";;;;Simple;No usa
14010120;Rollos Film Strech 10Cn.;;;;Simple;No usa
14010121;Mecha Sds Plus Ø 12Mm X 160Mm;;;;Simple;No usa
14010122;"Tornillo Punta Aguja 6 X 2""";;;;Simple;No usa
14010123;Remaches Pop 3,5 X 20Mm;;;;Simple;No usa
14010124;Rollo De Film Strech X25 Cnt.;;;;Simple;No usa
14010125;Protex Acelerante X Litro ;;;;Simple;No usa
14010126;Cinta Helicoidal 6Mm;;;;Simple;No usa
14010127;Mecha Sierra Copa 14Mm ;;;;Simple;No usa
14010128;Mecha Sierra Copa 22Mm ;;;;Simple;No usa
14010129;"Tornillo Punta Aguja 6X2 1/2""";;;;Simple;No usa
14010130;Cadena Hg Anudada X Metros ;;;;Simple;No usa
14010131;Picos Para Grasera 4 Uñas ;;;;Simple;No usa
14010132;Bisagras De Acero Para Soldar; Con Alas 30Mm;;;Simple;No usa
14010133;"Omega 1/2""";;;;Simple;No usa
14010134;Manguera Para Gas - 8Mm;;;;Simple;No usa
14010135;"Omega 1/4""";;;;Simple;No usa
14010136;Porta Rollo ;;;;Simple;No usa
14010137;Soga Gratificada ;;;;Simple;No usa
14010138;"Bulón 5/16""X 1"" ";;;;Simple;No usa
14010139; Ligante X 20 Litros ;sección;;;Simple;No usa
14010140;Tacos Fischer Con Tope Nº 6 ;;;;Simple;No usa
14010141;Hilo De Polietileno P/Cortinas; (Plastico Negro);;;Simple;No usa
14010142;Pilas Doble Aa;;;;Simple;No usa
14010143;Pila Cr 2032;;;;Simple;No usa
14010144;Brocas N° 10 ;;;;Simple;No usa
14010145;Mecha De Acero Rapido Nº 10  ;;;;Simple;No usa
14010146;Mecha De Acero Rapido Nº 8  ;;;;Simple;No usa
14010147;Abrazadera Estampada 12-22 ;;;;Simple;No usa
14010148;Disco De Corte 115X1,6-22,23 ;;;;Simple;No usa
14010149;Candado 40 Mm;;;;Simple;No usa
14010150;"Varilla Roscada  5/16""";;;;Simple;No usa
14010151;Silicona En Pomo X 250 ;;;;Simple;No usa
14010152;Tubo Nº13 ;;;;Simple;No usa
14010153;Llave Nº 15 ;;;;Simple;No usa
14010154;Llave Nº 13 ;;;;Simple;No usa
14010155;Llave T Nº 11 ;;;;Simple;No usa
14010156;Pinza Punta Aislada 600/1000V.;;;;Simple;No usa
14010157;Destornilladores Planos;;;;Simple;No usa
14010158;Pala Ancha Cabo Corto ;;;;Simple;No usa
14010159;Centro De Extractor Eu56;;;;Simple;No usa
14010160;"Bocas De Llave Magnética 3/8""";;;;Simple;No usa
14010161;"Bocas De Llave Magnética 5/16""";;;;Simple;No usa
14010162;Escuadra Aluminio 35Cn;;;;Simple;No usa
14010163;Escuadra Magnetica ;;;;Simple;No usa
14010164;Maza X 3 Kg.;;;;Simple;No usa
14010165;Martillo;;;;Simple;No usa
14010166;Llave T N°14;;;;Simple;No usa
14010167;"Llave Francesa 18""";;;;Simple;No usa
14010168;"Llave T 1/4""";;;;Simple;No usa
14010169;"Llave T 3/16""";;;;Simple;No usa
14010170;Boca Llave Magnetica 11Mm;;;;Simple;No usa
14010171;"Boca Llave Magnetica 3/8"" 48Mm";;;;Simple;No usa
14010172;Boca Llave Magnética 10Mm;;;;Simple;No usa
14010173;Acrílico Para Tubos Usados ;;;;Simple;No usa
14010174;Manguera Cristal X 1/4;;;;Simple;No usa
14010175;Pinza Amperometrica;;;;Simple;No usa
14010176;Krikert;;;;Simple;No usa
14010177;Limpia Contactos En Aerosol;w80 X 240Ml;;;Simple;No usa
14010178;Puntas Philip Para Taladro ;;;;Simple;No usa
14010179;"Cuerda Siliconada 1/2""";;;;Simple;No usa
14010180;Reguladores Para Gas ;;;;Simple;No usa
14010181;Potenciometro 24Mm 5K Ohmios;;;;Simple;No usa
14010182;Bidon Reforzado 25 Litros ;Para Combustible ;;;Simple;No usa
14010183;Mecha Sds Plus Ø 6 X 160Mm;;;;Simple;No usa
14010184;Hausing + 6 Accesorios;;;;Simple;No usa
14010185;Medidor De Tension Multimetro ;Mod:Aob292Z-9;;;Simple;No usa
14010186;Contrapeso De Hormigon ;;;;Simple;No usa
14010187;Recera Para Cajetin ;;;;Simple;No usa
14010188;Descargador Doble Ø55 Rotec;;;;Simple;No usa
14010189;Junta Plana Eva Ø80Mm;;;;Simple;No usa
14010190;Calentador Eléctrico Hpc002 ;Hamilton ;;;Simple;No usa
14010191;Cable Acerado Hg 6X7 X 6,3 Mm;;;;Simple;No usa
14010192;Diluyente para epoxi x litro;;;;Simple;No usa
14010193;Tirafondo Cbza hexagonal¼”x2 ½;;;;Simple;No usa
14010194;"Bulon 1/42""x2"" cbza hexagonal";;;;Simple;No usa
14010195;Alambre N°14;;;;Simple;No usa
14010196;Espiga doble 1/2;;;;Simple;No usa
14010197;Tee triple espiga 1/2;;;;Simple;No usa
14010198;Espiga rosca macho 1/2;;;;Simple;No usa
14010199;Conexión de tanque 3/4;;;;Simple;No usa
14010200;Espiga rosca macho 3/4;;;;Simple;No usa
14010201;Soga plástica x 4 mts;;;;Simple;No usa
14010202;Cierre puerta M.8803;;;;Simple;No usa
14010203;Esmalte Sintetico ;Gris Aluminio;;;Simple;No usa
14010204;Espuma de poliuretano;;;;Simple;No usa
14010205;Sika group x25 kg ;;;;Simple;No usa
14010206;Electrodos 2 1/2;;;;Simple;No usa
14010207;Amoladora ;115 mm;;;Simple;No usa
14010208;Wd-40 Lubricante antioxidante;;;;Simple;No usa
14010209;Estaño eximetal 1mm 60/40;;;;Simple;No usa
14010210;Precintos 20cm;;;;Simple;No usa
14010211;Pintura en aerosol;;;;Simple;No usa
14010212;Sella rosca verde;;;;Simple;No usa
14010213;Silicona transparente;;;;Simple;No usa
14010214;Tornillo p/taco fischer N°8;;;;Simple;No usa
14010215;Mecha p/ pared;;;;Simple;No usa
14010216;Disco diamantado 115mm;;;;Simple;No usa
14010217;Soplete c/ gatillo;;;;Simple;No usa
14010218;Copia de llave cerradura;;;;Simple;No usa
14010219;Pinza;;;;Simple;No usa
14010220;Tenaza;;;;Simple;No usa
14010221;Electrodos 308 p/acero inox ;;;;Simple;No usa
14010222;Disco De Corte 180x1.6x22-23mm;;;;Simple;No usa
14010223;Piedra recta p/amoladora banco;"6""x 1""x 3/4""";;;Simple;No usa
14010224;Electrodo 6013 - 13A - 2,5Mm;;;;Simple;No usa
14010225;Bulón ø O Paso ½” X 2. ¾” ;;;;Simple;No usa
14010226;Tuerca Hexagonal Zincada ½” ;;;;Simple;No usa
14010227;Tuerca hexagonal zincada ½” ;;;;Simple;No usa
14010228;Bulón ½ x 2 ¾”;;;;Simple;No usa
14010229;Pico regador regulable;Punta Mecha ;;;Simple;No usa
14010230;Mecha sds plus 24 x160 mm;;;;Simple;No usa
14010231;Pila LR 44;;;;Simple;No usa
14010232;Clavos espiralados x1 ½”;;;;Simple;No usa
14010233;"Disco de corte p/mad. 9""x230mm";;;;Simple;No usa
14010234;Linterna ;;;;Simple;No usa
14010235;Acelerante de fragüe ;Sika;;;Simple;No usa
14010236;Disco diamantado 180mm;;;;Simple;No usa
14010237;Art. de ferretería varios; ;;;Simple;No usa
14010238;Electrodo 6013 3,25Mm;;;;Simple;No usa
14010239;Bola fundida hueca 75mm;;;;Simple;No usa
14010240;Bola fundida hueca 55mm;;;;Simple;No usa
14010241;Antióxido ;;;;Simple;No usa
14010242;Kit de reparación de lona ; lona p/australiano;;;Simple;No usa
14010243;Precintos numerados 40cm;;;;Simple;No usa
14010244;Buscapolo ;;;;Simple;No usa
14010245;Destornillador philips;;;;Simple;No usa
14010246;Alicate corte diagonal ;;;;Simple;No usa
14010247;Antiadherente p/ soldaduras;;;;Simple;No usa
14010248;"Disco de corte p/mad. 180mm 7""";;;;Simple;No usa
14010249;Alambre N°17;;;;Simple;No usa
14010250;Abrazadera 30-45 ;;;;Simple;No usa
14010251;Elect. de cementac 1400x3.25MM;;;;Simple;No usa
14010252;Pistola p/ pintar ;compresor;;;Simple;No usa
14010253;Llave combinada 22mm;;;;Simple;No usa
14010254;Llave combinada 19mm;;;;Simple;No usa
14010255;Llave combinada 9/16;;;;Simple;No usa
14010256;Llave combinada 11mm;;;;Simple;No usa
14010257;Llave combinada 10mm;;;;Simple;No usa
14010258;"Pinza de presión 10""";;;;Simple;No usa
14010259;"Rosca macho 3/16""";;;;Simple;No usa
14010260;Rosca macho ¼”;;;;Simple;No usa
14010261;Mecha de Acero Rápido 4mm;;;;Simple;No usa
14010262;Cutter ;;;;Simple;No usa
14010263;Hojas p/ cutter;;;;Simple;No usa
14010264;Tapacanto esquinero ;;;;Simple;No usa
14010265;Escobilla burlete p/ puerta;;;;Simple;No usa
14010266;Pila redonda LR44;;;;Simple;No usa
14010267;Mecha SDS Plus 160 x 8 mm;;;;Simple;No usa
14010268;Mecha SDS Plus 160 x10 mm;;;;Simple;No usa
14010269;Mecha SDS Plus 270 x 08 mm;;;;Simple;No usa
14010270;Mecha SDS Plus 270 x 10 mm;;;;Simple;No usa
14010271;Soga De Polipropileno n°16 ;;;;Simple;No usa
14010272;Cerradura y Picaporte;;;;Simple;No usa
14010273;Anchada c/ cabo ;;;;Simple;No usa
14010274;Rastrillo 14 dientes c/cabo;;;;Simple;No usa
14010275;Broche p/ media sombra ;;;;Simple;No usa
14010276;"Tornillo ace. inox. ½""";;;;Simple;No usa
14010277;"Tuerca 1/2""";;;;Simple;No usa
14010278;Arandela Grower ;;;;Simple;No usa
14010279;Escalera ;;;;Simple;No usa
14010280;Soldador de Estaño; ;;;Simple;No usa
14010281;Pala punta corazón cabo largo;;;;Simple;No usa
14010282;Pala punta cuadrada cabo largo;;;;Simple;No usa
14010283;Tanza 0.8mm x 100mts;;;;Simple;No usa
14010284;Cortaperno 24 ;profesional;;;Simple;No usa
14010285;Nivel de aluminio 50cm ;;;;Simple;No usa
14010286;Fratacho 12x30cm ;;;;Simple;No usa
14010287;Pico punta y pala c/cabo 90cm;;;;Simple;No usa
14010288;Maza 1kg;;;;Simple;No usa
14010289;Nivel 3 burbujas 1 mts  ;;;;Simple;No usa
14010290;Nivel 3 burbujas 60cm;;;;Simple;No usa
14010291;Manguera Cristal 9/12x25mts;;;;Simple;No usa
14010292;Llave combinada 7mm;;;;Simple;No usa
14010293;Llave combinada 9mm;;;;Simple;No usa
14010294;Disco de corte widia 230;;;;Simple;No usa
14010295;Espátula ; ;;;Simple;No usa
14010296;Disco de corte widia 180;;;;Simple;No usa
14010297;Abrazadera estampada 40-60;;;;Simple;No usa
14010298;Conj. ménsula N°5 ; ;;;Simple;No usa
14010299;"Tuerca 1/4""";;;;Simple;No usa
14010300;Orificio danfoss N°3;;;;Simple;No usa
14010301;Soldadura de plata ; ;;;Simple;No usa
14010302;Bulón 8x80 ;;;;Simple;No usa
14010303;Tuerca 8mm autofrenante ;;;;Simple;No usa
14010304;Abrazadera 32- 50;;;;Simple;No usa
14010305;Torcha completa MIG350;;;;Simple;No usa
14010306;Juego de picos cortadora plasm;;;;Simple;No usa
14010307;Brocas N° 20;;;;Simple;No usa
14010308;Caja de herramientas 30cm ; ;;;Simple;No usa
14010309;Convertidor 3 en 1;Gris Aluminio;;;Simple;No usa
14010310;Juego de llave allen;;;;Simple;No usa
14010311;Tornillo Auto Perfor. T1 14 x 2;Punta Mecha ;;;Simple;No usa
14010312;Abrazadera 50- 70;;;;Simple;No usa
14010313;Electrodo 7018;;;;Simple;No usa
14010314;Electrodo 1400;;;;Simple;No usa
14010315;Cable p/ pinza soldar 1x25mm;;;;Simple;No usa
14010316;Mecha sds plus 25 x 260mm;;;;Simple;No usa
14010317;Precinto7.2mm;;;;Simple;No usa
14010318;Precinto 3.5mm;;;;Simple;No usa
14010319;Precinto 2.5mm;;;;Simple;No usa
14020001;Manguera 6Mm P/ Compresor 6X1;;;;Simple;No usa
14020002;Ruleman Zml 6202 ;;;;Simple;No usa
14020003;Ruleman Uc 205 -16;;;;Simple;No usa
14020004;"Tensor Zb 3/8"" X 295-R-211Mm ";;;;Simple;No usa
14020005;"Manguera Mayada De 1/2""";Por 25 metros;;;Simple;No usa
14020006;Turbina Impulsora Nº 23 ;;;;Simple;No usa
14020007;Turbina Impulsora Base 72 ;Vulcano;;;Simple;No usa
14020008;Aletas De Ventilación Vulcano ;;;;Simple;No usa
14020009;Empaquetadura P/ Bomba. ;;;;Simple;No usa
14020010;"Porta Filtro Ent.Agua1 1/2""R-M";Entrada de agua;;;Simple;No usa
14020011;Filtros Para Entradas De Agua ;Metalizados;;;Simple;No usa
14020012;Filtros Combustible ;;;;Simple;No usa
14020013;Filtro De Aceite;Parts-4226293 M1;;;Simple;No usa
14020014;Filtro De Aire;Amarok;;;Simple;No usa
14020015;Filtro Combustible ;Parts 1259765 Hx;;;Simple;No usa
14020016;Descargador Polim.12Kv 10 KXU;Polimérico;;;Simple;No usa
14020017;Filtro De Aceitecnh- 47425202;;;;Simple;No usa
14020018;Filtro De Aceite Darmet - G362;;;;Simple;No usa
14020019;Filtro De Aceite Darmet -G1323;;;;Simple;No usa
14020020;Filtro De Aceite Ft5724;;;;Simple;No usa
14020021;"Tensor Americano 5/16"" M12";;;;Simple;No usa
14020022;Orrin De Goma P/Caños Pvc X250;;;;Simple;No usa
14020023;Manguera R2 X 5/16 ;C/ acople 3/8 R-H;;;Simple;No usa
14020024;Filtro De Aire-Cnh- 86982523;;;;Simple;No usa
14020025;Filtro De Aire-87682999-08 E ;;;;Simple;No usa
14020026;Filtro De Aire-Ca- 4950;;;;Simple;No usa
14020027;Filtro De Aire;;;;Simple;No usa
14020028;Filtro De Aire  Ca 3291;;;;Simple;No usa
14020029;Filtro De Combustible  P4549 A;;;;Simple;No usa
14020030;Filtro De Combustible  G372;;;;Simple;No usa
14020031;Filtro De Combustible G374;;;;Simple;No usa
14020032;Filtro De Combustible  Db 008;;;;Simple;No usa
14020033;Reten De Nitrilo 50X72X10;;;;Simple;No usa
14020034;Reten De Nitrilo 25X50X10;;;;Simple;No usa
14020035;Reten De Nitrilo 30X47X7;;;;Simple;No usa
14020036;Lanza Hd (0,85 Mts) ;;;;Simple;No usa
14020037;Filtro De Aceite Ph8B;;;;Simple;No usa
14020038;Aceite Hidraulico 10W30 ;Por litros;;;Simple;No usa
14020039;Sello Para Bombas Grunfos;;;;Simple;No usa
14020040;Ruleman 627 Rs;;;;Simple;No usa
14020041;Junta Plana Eva Ø50Mm;;;;Simple;No usa
14020042;Tubo 02 P/Autógena;;;;Simple;No usa
14020043;Carburo;;;;Simple;No usa
14020044;Lubricantes P/Cadenas  415Cn;Chain Lube;;;Simple;No usa
14020045;Lanza 900 Mm P/Hidrolavadoras;;;;Simple;No usa
14020046;Voltimetro Y Amperimetro ;Ojo De Buey;;;Simple;No usa
14020047;Ruleman Zml 6206;;;;Simple;No usa
14020048;Platillos Sujeta Piedras; P/Amol. De Banco;;;Simple;No usa
14020049;Bujia Rosca Corta ;P/ Moto Guadaña;;;Simple;No usa
14020050;Filtros Para Hidro ;;;;Simple;No usa
14020051;Carbones Para Amoladora 115;;;;Simple;No usa
14020052;Manguera De Poliuretano 12Mm;;;;Simple;No usa
14020053;Carton Para Juntas;;;;Simple;No usa
14020054;Manguera De Poliur. 12X12Mm;Poliuretano;;;Simple;No usa
14020055;Manguera De Poliur.10X1,5Mm;Poliuretano;;;Simple;No usa
14020056;Manguera De Poliur.10X1Mm;Poliuretano;;;Simple;No usa
14020057;Manguera De Poliur.8X1,25Mm;Poliuretano;;;Simple;No usa
14020058;Manguera De Poliur. 7Mm;Poliuretano;;;Simple;No usa
14020059;Ruleman Skf 6203 ;;;;Simple;No usa
14020060;Rulemanes Zml 6204  ;;;;Simple;No usa
14020061;Fastix Alta Temperatura ;;;;Simple;No usa
14020062;Eje P/Extract. Engor.27X25,4Mm;Extractor Engorde;;;Simple;No usa
14020063;Manómetro -0-10 Bar;;;;Simple;No usa
14020064;Manómetro -0-1 Bar;;;;Simple;No usa
14020065;Aspas Metálicas P/Extractores;Unidades ;;;Simple;No usa
14020066;"Tensor De Correa Extractor 50""";11641 (Estirador);;;Simple;No usa
14020067;Reja p/Interior De Extractores;  Amarillas;;;Simple;No usa
14020068;Presostato S W Tch Kpi35 ; (Preresure) ;;;Simple;No usa
14020069;Rotámetro De 100 A 450 LtsXMin;;;;Simple;No usa
14020070;Porta Filtro M.K6;;;;Simple;No usa
14020071;Pre Filtro De Aire Dinám.Kc 91;Línea;;;Simple;No usa
14020072;Pre Filtro De Aire Dinám.Kc 41;Línea ;;;Simple;No usa
14020073;Carcasa Porta Elem.Filtrante;En Seco M. Ah 2021;;;Simple;No usa
14020074;Batería X 12V. X 175Amp;;;;Simple;No usa
14020075;Perno P/ Cuchilla De Desmal.;Desmalezadora;;;Simple;No usa
14020076;Acople Rapido Neumatico R-M;;;;Simple;No usa
14020077;Correa  Ax-54;;;;Simple;No usa
14020078;Filtro De Aceite  P559128;;;;Simple;No usa
14020079;Filtro De Aire B105006;;;;Simple;No usa
14020080;Válvula De Solenoide;;;;Simple;No usa
14020081;Sensores Capacitivos De Alim.; Eq E 225235-1Rd5;;;Simple;No usa
14020082;Conos Hg P/ Extractores Y Acc.;Accesorios;;;Simple;No usa
14020083;Filtro De Aire  140131;;;;Simple;No usa
14020084;Filtro De Aceite P554407;;;;Simple;No usa
14020085;Polea De Fundicion 19Mmx50Mm Ø;;;;Simple;No usa
14020086;Manometro 0 -7 Rosca Inferior ;;;;Simple;No usa
14020087;Manometro 0-20 Rosca Inferior ;;;;Simple;No usa
14020088;"Adaptador P/Hidro 1 Mts.X 1/4""";;;;Simple;No usa
14020089;Manometros Con Gliserina 0-20;R-Posterior;;;Simple;No usa
14020090;Correa  Ax-58;;;;Simple;No usa
14020091;Transformador 220 X 24V. ;Potencia 75;;;Simple;No usa
14020092;Transformador 220 X 24V.; Potencia 125;;;Simple;No usa
14020093;Chicotes Armados C/Accesorios ;Para Hidrolavadoras;;;Simple;No usa
14020094;Tabaqueras Porta Fusib. Psr-20; Fusib.1 A 25 Amp.;;;Simple;No usa
14020095;Lenguetas Para Dosificadores ;;;;Simple;No usa
14020096;Ejes P/ Extractor 400Mm X 24,5;;;;Simple;No usa
14020097;Bobina P/Contactor  Laex12B7;;;;Simple;No usa
14020098;Correa  B-52;;;;Simple;No usa
14020099;Correa  B-46;;;;Simple;No usa
14020100;Correa  B-45;;;;Simple;No usa
14020101;Correa  B-69;;;;Simple;No usa
14020102;Correa  B-73;;;;Simple;No usa
14020103;Correa  B-67;;;;Simple;No usa
14020104;Correa  B-71;;;;Simple;No usa
14020105;Correa  B-68;;;;Simple;No usa
14020106;Correa  A-58;;;;Simple;No usa
14020107;Correa  B-58;;;;Simple;No usa
14020108;Correa  A-64;;;;Simple;No usa
14020109;Correa  B-44;;;;Simple;No usa
14020110;Ruleman Yar 212;;;;Simple;No usa
14020111;Ruleman Uc 210;;;;Simple;No usa
14020112;Ruleman Uc 207;;;;Simple;No usa
14020113;Ruleman Uc 206;;;;Simple;No usa
14020114;Ruleman 32013;;;;Simple;No usa
14020115;Ruleman 30208;;;;Simple;No usa
14020116;Ruleman 30207 J2/Q;;;;Simple;No usa
14020117;Ruleman 30212;;;;Simple;No usa
14020118;Ruleman 6309-C3;;;;Simple;No usa
14020119;Ruleman 6309-2R5C3;;;;Simple;No usa
14020120;Porta Ruleman F -212;;;;Simple;No usa
14020121;Porta Ruleman Ucf - 206;;;;Simple;No usa
14020122;Porta Ruleman Ucf - 210;;;;Simple;No usa
14020123;Paleta Ventilador Motor;;;;Simple;No usa
14020124;Cadena 80 R2 X 10Ft ;;;;Simple;No usa
14020125;Cadena 50 R1 ;;;;Simple;No usa
14020126;Cadena 60 R2;;;;Simple;No usa
14020127;Seguros Para Cadenas N°100;;;;Simple;No usa
14020128;Seguros Para Cadenas N°50;;;;Simple;No usa
14020129;Seguros Para Cadenas N°60;;;;Simple;No usa
14020130;Cilindro Neum.Dsbc-80-500;Ppva-N31383344 Mo14;;;Simple;No usa
14020131;Cilindro Neum.Dsbc-80-300;Ppva-N32126600N514;;;Simple;No usa
14020132;Cilindro Neum. Dsbc-63-350;Ppva-N3-1463483P230;;;Simple;No usa
14020133;Cilindro Neum.Dsbc-50-350;Ppva-N31463766 N530;;;Simple;No usa
14020134;Cilindro Neum. Dsbc-50-300;Ppva-N32098975 Mo14;;;Simple;No usa
14020135;Repuesto  Nº 11886 Co13;Marca Festo;;;Simple;No usa
